split,prompt_tokens,response_tokens,instruction_type
train,225,5,reasoning
train,155,337,other
train,30,34,reasoning
train,50,161,analyze
train,227,25,reasoning
train,17,528,other
train,82,365,other
train,19,7,write
train,9,74,other
train,11,382,other
train,45,219,write
train,18,16,write
train,67,87,other
train,376,2,reasoning
train,207,11,other
train,499,86,write
train,16,6,other
train,43,20,reasoning
train,10,166,reasoning
train,78,1,other
train,32,64,other
train,2,43,other
train,359,76,other
train,828,1,reasoning
train,37,299,write
train,12,16,other
train,165,35,translate
train,81,216,summarize
train,33,23,other
train,353,20,reasoning
train,144,24,reasoning
train,48,2,other
train,14,120,other
train,322,1,reasoning
train,207,41,translate
train,245,48,other
train,60,150,write
train,5,76,other
train,2542,17,translate
train,58,349,other
train,17,4,write
train,18,16,classify
train,40,444,other
train,19,67,other
train,39,1,reasoning
train,22,155,other
train,57,280,other
train,24,32,other
train,335,20,reasoning
train,89,41,translate
train,34,247,other
train,18,273,other
train,13,309,other
train,96,287,other
train,78,216,other
train,42,196,other
train,23,40,other
train,37,43,summarize
train,6,54,other
train,19,12,other
train,36,36,other
train,82,508,reasoning
train,709,28,reasoning
train,227,349,write
train,63,208,analyze
train,44,42,other
train,272,18,translate
train,65,516,write
train,771,96,reasoning
train,1,522,other
train,202,19,classify
train,15,46,other
train,17,156,reasoning
train,7,166,analyze
train,1061,151,other
train,238,6,reasoning
train,10,349,analyze
train,341,54,reasoning
train,52,272,other
train,344,25,reasoning
train,43,18,other
train,1,191,other
train,233,19,other
train,1,2,other
train,16,7,other
train,7,257,other
train,13,226,other
train,6,6,other
train,193,34,other
train,11,475,write
train,10,244,other
train,18,111,reasoning
train,37,13,other
train,12,290,write
train,6,55,summarize
train,165,254,reasoning
train,353,19,reasoning
train,2,30,other
train,22,1,classify
train,18,1,reasoning
train,1,551,other
train,7,332,analyze
train,3,24,other
train,9,214,analyze
train,185,134,reasoning
train,220,218,reasoning
train,108,14,write
train,21,58,other
train,11,417,other
train,157,1,other
train,553,129,summarize
train,18,166,other
train,50,21,other
train,121,1,reasoning
train,73,301,write
train,9,98,write
train,159,36,translate
train,9,53,other
train,344,13,translate
train,25,290,other
train,811,49,other
train,107,285,other
train,305,38,translate
train,18,59,other
